meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,secondary_desc
Waimea,Kauai,Lack of road maintenance since 1999,8,Open up & maintain roads as firebreaks,PS,R,A,
Wilcox,Kauai,Access for fire fighters to rural locations,7,better access,S,R,A,
Wilcox,Kauai,Rural road maintenance,6,Moveable road blocks/gates on access roads,PS,R,A,
Waimea,Kauai,Fires on ridges threat valleys -Section of ridges with fire breaks ,1,Restore old cane roads - parallel along ridges and lateral roads,PS,L,A,R
Wilcox,Kauai,Alternate traffic routes when roads are closed due to fire,0,Funding for rural road maintenance,S,C,A,R
Waimea,Kauai,Road Access,0,Open roadways,PS,R,A,
CM Mason Chock,Kauai,"Access Issues - Large Landowners - Land Management (animals/hunting, access)",,Map out access areas - appease large landowners  needs to help them manage their lands,P,C,A,
Princeville Ranch,Kauai,Locked gates,,DNA,S,R,A,
Kilauea,Kauai,Educating homeowners,4,"Homeowner education, home safety, evacuating procedures (workshop, one-page flyer, Door to Door by HOA member",P,C,C,CBO
Kilauea,Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3,"Outreach opportunities - schools, events; Identify critical infrastructure  (highways, solar farms, power plants, hospitals, hotels)",P,C,C,PSA
Kilauea,Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3,"Outreach opportunities - schools, events; Identify critical infrastructure  (highways, solar farms, power plants, hospitals, hotels)",P,C,C,YO
Agency Meeting,Kauai,Community Awareness,2,"Using fire safety trailer events, community meetings",P,C,C,CBO
Kilauea,Kauai,Charter school students educated about dangers of fire (arsonists from the community),1,Youth education at Charter school (Kanuikapono School),P,C,C,PSA
Kilauea,Kauai,Charter school students educated about dangers of fire (arsonists from the community),1,Youth education at Charter school (Kanuikapono School),P,C,C,YO
Waimea,Kauai,"Provide homeowners with the means to protect their property (fire extinguishers, smoke detectors)",1,,P,C,C,CBO
Waimea,Kauai,Older homes construction type - easily flammable,0,Service projects by local High School students to help the elderly,P,C,C,YO 
Waimea,Kauai,Possible fire setters intentional,0,Education/Awareness,P,C,C,OO
Waimea,Kauai,Public Awareness,0,"More information, education, workshops, classes with large employers - lunch hour",P,C,C,OO
Waimea,Kauai,Toxicity of burning cultivated Ag lands affecting downwind communities,0,Ag owners and community should know the toxicity of their burning fuels/crops,S,C,C,CBO
CM Mason Chock,Kauai,Awareness; Juvenile Fire Starts,,Community outreach/fire prevention outreach; K-12 classrooms,P,C,C,CBO
CM Mason Chock,Kauai,Awareness; Juvenile Fire Starts,,Community outreach/fire prevention outreach; K-12 classrooms,P,C,C,YO
